player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,name_full
100133,Pat,Cramer,R,1947-03-21,RSA,,Q7143331,Pat Cramer
100134,Roy,Barth,R,1947-03-30,USA,175.0,Q18240972,Roy Barth
100135,Onny,Parun,R,1947-04-15,NZL,188.0,Q939026,Onny Parun
100136,Humphrey,Hose,R,1947-05-04,VEN,,Q22005197,Humphrey Hose
100137,Hans Jurgen,Pohmann,R,1947-05-23,GER,178.0,Q95218,Hans Jurgen Pohmann
100138,Dan,Bleckinger,R,1947-05-27,USA,,,Dan Bleckinger
100139,Gerald,Battrick,R,1947-05-27,GBR,178.0,Q1565118,Gerald Battrick
100140,Steve,Faulk,R,1947-06-01,USA,,,Steve Faulk
100141,Zeljko,Franulovic,R,1947-06-13,CRO,,Q1290977,Zeljko Franulovic
100142,Peter,Szoke,R,1947-08-08,HUN,,Q1563115,Peter Szoke
100143,Peter,Fishbach,R,1947-08-29,USA,180.0,Q87758114,Peter Fishbach
100144,Bob,Lutz,R,1947-08-29,USA,180.0,Q888085,Bob Lutz
100145,Dick,Dell,R,1947-09-29,USA,,Q3026568,Dick Dell
100146,Jun,Kamiwazumi,R,1947-10-01,JPN,,Q11588830,Jun Kamiwazumi
100147,Marcello,Lara,R,1947-10-05,MEX,,Q1565079,Marcello Lara
100148,Ismail,El Shafei,R,1947-11-15,EGY,,Q402950,Ismail El Shafei
100149,Toshiro,Sakai,R,1947-11-23,JPN,,Q962038,Toshiro Sakai
100150,Lito,Alvarez,R,1947-12-05,ARG,,Q963823,Lito Alvarez
100151,Karl,Coombes,R,1947-12-17,AUS,180.0,Q16855126,Karl Coombes
100152,David,Lloyd,R,1948-01-03,GBR,,Q3018308,David Lloyd
100153,Patrice,Hagelauer,R,1948-01-05,FRA,188.0,Q3368955,Patrice Hagelauer
100154,Peter,Kanderal,R,1948-01-16,SUI,,Q86628337,Peter Kanderal
100155,Ramiro,Benavides,R,1947-01-30,BOL,,,Ramiro Benavides
100156,Jasjit,Singh,R,1948-02-04,IND,,Q18091541,Jasjit Singh
100157,Stanley,Pasarell,R,1948-02-11,USA,185.0,,Stanley Pasarell
100158,John,Bartlett,R,1948-03-17,AUS,188.0,Q6220953,John Bartlett
100159,Vladimir,Korotkov,R,1948-04-23,RUS,,Q12488,Vladimir Korotkov
100160,Georges,Goven,R,1948-04-26,FRA,173.0,Q1563939,Georges Goven
100161,Jurgen,Fassbender,R,1948-05-28,GER,,Q77578,Jurgen Fassbender
100162,Brian,Fairlie,R,1948-06-13,NZL,173.0,Q1563153,Brian Fairlie
100163,Tom,Leonard,R,1948-07-15,USA,175.0,Q1563959,Tom Leonard
100164,Bill,Lofgren,R,1948-07-31,USA,,,Bill Lofgren
100165,Steve,Siegel,R,1948-09-04,USA,,Q23023819,Steve Siegel
100166,Gene,Malin,R,1948-10-01,USA,,,Gene Malin
100167,Sever,Muresan,R,1948-10-23,ROU,,Q7457808,Sever Muresan
100168,Kenneth,McMillan,R,1948-11-25,USA,,,Kenneth McMillan
100169,Ian,Fletcher,R,1948-12-01,AUS,,Q3147262,Ian Fletcher
100170,Bernard,Mignot,R,1948-12-03,BEL,,Q2898324,Bernard Mignot
100171,John,Yuill,R,1948-12-12,RSA,,Q3182800,John Yuill
100172,Tito,Vazquez,R,1949-01-01,ARG,173.0,Q2040551,Tito Vazquez
100173,Andrew,Pattison,R,1949-01-30,USA,188.0,Q716408,Andrew Pattison
100174,Manuel,Orantes,L,1949-02-06,ESP,178.0,Q318569,Manuel Orantes
100175,Zan,Guerry,R,1949-02-12,USA,,Q22278049,Zan Guerry
100176,Hans,Kary,L,1949-02-23,AUT,172.0,Q3126972,Hans Kary
100177,Pavel,Hutka,R,1949-02-28,CZE,,Q7155624,Pavel Hutka
100178,Bob,Giltinan,R,1949-04-07,AUS,,Q2907669,Bob Giltinan
100179,Karl,Meiler,R,1949-04-30,GER,178.0,Q89533,Karl Meiler
100180,Bill,Lloyd,R,1949-05-07,AUS,,,Bill Lloyd
100181,Larry,Turville,R,1949-06-04,USA,,,Larry Turville
100182,Mike,Estep,R,1949-07-19,USA,173.0,Q4107672,Mike Estep
100183,Jim,Ward,R,1949-07-28,USA,,,Jim Ward
100184,Lars,Elvstrom,R,1949-08-18,DEN,,Q16064404,Lars Elvstrom
100185,Patrick,Proisy,R,1949-09-10,FRA,180.0,Q1282611,Patrick Proisy
100186,Jeff,Borowiak,R,1949-09-25,USA,193.0,Q1565788,Jeff Borowiak
100187,Luis Felipe,Tavares,R,1949-09-26,BRA,,,Luis Felipe Tavares
100188,John,Fort,R,1949-09-28,USA,,,John Fort
100189,Dale,Power,R,1949-10-02,CAN,,Q5210590,Dale Power
100190,Norman,Holmes,R,1949-10-05,USA,,,Norman Holmes
100191,Doug,Crawford,R,1949-10-15,USA,188.0,,Doug Crawford
100192,Kent,Crawford,R,1949-10-15,USA,,,Kent Crawford
100193,Wanaro,N'Godrella,R,1949-10-19,FRA,,Q3566000,Wanaro N'Godrella
100194,Larry,Parker,R,1949-10-23,USA,,,Larry Parker
100195,Nicolas,Kelaidis,R,1949-10-29,GRE,178.0,Q27996064,Nicolas Kelaidis
100196,Haroon,Rahim,R,1949-11-12,PAK,,Q1258703,Haroon Rahim
100197,Alejandro,Pierola,R,1949-11-20,CHI,,Q4714630,Alejandro Pierola
100198,Alvaro,Betancur,R,1950-01-03,COL,,Q86431834,Alvaro Betancur
100199,Patrice,Dominguez,L,1950-01-12,FRA,173.0,Q3368924,Patrice Dominguez
100200,Antonio,Zugarelli,R,1950-01-17,ITA,,Q267328,Antonio Zugarelli
100201,Syd,Ball,R,1950-01-24,AUS,188.0,Q1563900,Syd Ball
100202,George,Amaya,L,1950-02-12,USA,173.0,,George Amaya
100203,Phil,Dent,R,1950-02-14,AUS,183.0,Q976190,Phil Dent
100204,Pancho,Walthall,L,1950-02-16,USA,,,Pancho Walthall
100205,Paul,Gerken,R,1950-03-15,USA,185.0,Q3371310,Paul Gerken
100206,Kenichi,Hirai,R,1950-03-19,JPN,,Q17986761,Kenichi Hirai
100207,Noel,Phillips,R,1950-03-28,AUS,,,Noel Phillips
100208,Dick,Bohrnstedt,R,1950-04-28,USA,,Q16144736,Dick Bohrnstedt
100209,George,Taylor,R,1950-05-04,USA,,,George Taylor
100210,Steve,Docherty,R,1950-05-06,AUS,,Q7612404,Steve Docherty
100211,Louk,Sanders,R,1950-05-09,NED,,Q2157904,Louk Sanders
100212,F D,Robbins,R,1950-06-13,USA,,,F D Robbins
100213,Fred,Hemmes,U,1950-06-14,NED,,Q719304,Fred Hemmes
100214,Adriano,Panatta,R,1950-07-09,ITA,183.0,Q375938,Adriano Panatta
100215,Fred,Mcnair,R,1950-07-22,USA,183.0,Q3086899,Fred Mcnair
100216,Charlie,Owens,R,1950-07-31,USA,,Q5081403,Charlie Owens
100217,Bob,Mckinley,R,1950-08-05,USA,,Q7347560,Bob Mckinley
100218,Butch,Palmer,R,1950-09-04,USA,,,Butch Palmer
100219,Geoff,Masters,R,1950-09-19,AUS,,Q1260231,Geoff Masters
100220,Jiri,Hrebec,R,1950-09-19,CZE,,Q2057065,Jiri Hrebec
100221,Carlos,Kirmayr,R,1950-09-23,BRA,173.0,Q1042999,Carlos Kirmayr
100222,Mike,Powers,R,1950-09-24,USA,,,Mike Powers
100223,Jeff,Simpson,R,1950-10-29,NZL,,Q6174987,Jeff Simpson
100224,Peter,Campbell,R,1950-11-10,AUS,,,Peter Campbell
100225,Peter,Doerner,R,1950-11-17,AUS,,Q18010763,Peter Doerner
100226,Mike,Machette,R,1951-01-27,USA,,Q13512805,Mike Machette
100227,Alvin,Gardiner,R,1951-02-11,AUS,,Q22959202,Alvin Gardiner
100228,Kjell,Johansson,R,1951-02-12,SWE,,Q5886813,Kjell Johansson
100229,Dick,Stockton,R,1951-02-18,USA,188.0,Q967423,Dick Stockton
100230,Welry,Fritz,R,1951-02-19,CAN,,,Welry Fritz
100231,Erik,Van Dillen,R,1951-02-21,USA,183.0,Q1259691,Erik Van Dillen
100232,Eddie,Dibbs,R,1951-02-23,USA,170.0,Q1282765,Eddie Dibbs
100233,Ricardo,Cano,R,1951-02-26,ARG,170.0,Q3430221,Ricardo Cano
100234,Allan,McDonald,R,1951-03-01,AUS,,Q16855281,Allan McDonald
100235,Antonio,Munoz,R,1951-03-01,ESP,,Q4776822,Antonio Munoz
100236,John,James,R,1951-03-07,AUS,183.0,Q6241493,John James
100237,Bill,Freer,R,1951-03-09,RSA,,,Bill Freer
100238,Rick,Fisher,R,1951-03-29,USA,,Q7331389,Rick Fisher
100239,Hans,Engert,R,1951-04-22,GER,,Q1566665,Hans Engert
100240,Joao,Soares,R,1951-04-25,BRA,185.0,Q6298385,Joao Soares
100241,Joel,Bailey,R,1951-04-25,USA,,Q22095303,Joel Bailey
100242,Mike,Collins,R,1951-05-01,GBR,,,Mike Collins
100243,Steve,Krulevitz,R,1951-05-30,USA,175.0,Q7613081,Steve Krulevitz
100244,John,Alexander,R,1951-07-04,AUS,190.0,Q1281683,John Alexander
100245,Jeff,Austin,R,1951-07-05,USA,,Q6173248,Jeff Austin
100246,Frank,Puncec,R,1951-07-09,RSA,,Q62513964,Frank Puncec
100247,Rolf,Thung,L,1951-07-27,NED,190.0,Q1821050,Rolf Thung
100248,Max,Hurlimann,R,1951-07-30,SUI,,,Max Hurlimann
100249,Paolo,Bertolucci,R,1951-08-03,ITA,175.0,Q484985,Paolo Bertolucci
100250,Woody,Blocher,R,1951-08-24,USA,173.0,Q87495855,Woody Blocher
100251,Grover Raz,Reid,R,1951-08-27,USA,,,Grover Raz Reid
100252,Tim,Gullikson,R,1951-09-08,USA,180.0,Q962989,Tim Gullikson
100253,Tom,Gullikson,L,1951-09-08,USA,180.0,Q1855348,Tom Gullikson
100254,George,Glowa,R,1951-10-01,USA,188.0,,George Glowa
100255,Roscoe,Tanner,L,1951-10-15,USA,183.0,Q54681,Roscoe Tanner
100256,Luis,Baraldi,R,1951-10-21,MEX,,,Luis Baraldi
100257,Ross,Case,R,1951-11-01,AUS,,Q1260196,Ross Case
100258,Jorge,Andrew,R,1951-11-02,VEN,,Q11705726,Jorge Andrew
100259,Peter,Feigl,R,1951-11-30,AUT,183.0,Q3376565,Peter Feigl
100260,Gary,Groslimond,R,1952-01-03,USA,,,Gary Groslimond
100261,Brian,Gottfried,R,1952-01-27,USA,183.0,Q912255,Brian Gottfried
100262,Rolf,Norberg,R,1952-01-31,SWE,,Q3440373,Rolf Norberg
100263,John,Andrews,R,1952-02-05,USA,,Q3180915,John Andrews
100264,Lajos,Levai,R,1952-02-07,YUG,,,Lajos Levai
100265,Cliff,Letcher,R,1952-02-09,AUS,,Q2979053,Cliff Letcher
100266,John,Feaver,R,1952-02-16,GBR,190.0,Q6232841,John Feaver
100267,Rayno,Seegers,R,1952-02-29,RSA,,Q18030745,Rayno Seegers
100268,Denis,Naegelen,R,1952-03-14,FRA,,Q5802672,Denis Naegelen
100269,Joe,Garcia,R,1952-03-17,USA,,,Joe Garcia
100270,Anand,Amritraj,R,1952-03-20,IND,185.0,Q2698644,Anand Amritraj
100271,Jean Francois,Caujolle,L,1952-03-31,FRA,,Q3165519,Jean Francois Caujolle
100272,Sandy,Mayer,R,1952-04-05,USA,178.0,Q2096054,Sandy Mayer
100273,Kim,Warwick,R,1952-04-08,AUS,183.0,Q1741596,Kim Warwick
100274,Eric,Deblicker,R,1952-04-17,FRA,178.0,Q3591073,Eric Deblicker
100275,Hartmut,Kirchhubel,R,1952-04-23,GER,,Q22278629,Hartmut Kirchhubel
100276,Terry,Moor,L,1952-04-23,USA,178.0,Q716901,Terry Moor
100277,Jacques,Thamin,R,1952-05-23,FRA,,Q13365306,Jacques Thamin
100278,Frank,Gebert,R,1952-06-11,GER,,Q3082618,Frank Gebert
100279,Mike,Cahill,R,1952-06-17,USA,183.0,Q6846222,Mike Cahill
100280,Wojtek,Fibak,R,1952-08-03,POL,183.0,Q505565,Wojtek Fibak
100281,Sashi,Menon,R,1952-08-09,IND,180.0,Q7425124,Sashi Menon
100282,Guillermo,Vilas,L,1952-08-17,ARG,180.0,Q201515,Guillermo Vilas
100283,Andre,Zietsmann,R,1952-08-19,RSA,,,Andre Zietsmann
100284,Jimmy,Connors,L,1952-09-02,USA,178.0,Q53393,Jimmy Connors
100285,Rod,Frawley,R,1952-09-08,AUS,185.0,Q3438080,Rod Frawley
100286,Harold,Solomon,R,1952-09-17,USA,168.0,Q1585949,Harold Solomon
100287,Robin,Drysdale,R,1952-09-18,GBR,,Q3437059,Robin Drysdale
100288,Tenny,Svensson,R,1952-09-21,SWE,,Q18085229,Tenny Svensson
100289,Byron,Bertram,R,1952-10-29,RSA,,Q1565274,Byron Bertram
100290,Timothy,Noonan,R,1952-10-31,USA,,,Timothy Noonan
100291,Ian,Harris,R,1952-11-16,USA,,,Ian Harris
100292,Alvaro,Fillol,R,1952-12-04,CHI,178.0,Q3576981,Alvaro Fillol
100293,John,Marks,R,1952-12-09,AUS,,Q3181997,John Marks
100294,Rejean,Genois,R,1952-12-30,CAN,175.0,Q7386114,Rejean Genois
100295,Richard,Legendre,R,1953-01-19,CAN,,Q3430975,Richard Legendre
100296,Chris,Gunning,R,1953-02-07,NZL,,,Chris Gunning
100297,Corrado,Barazzutti,R,1953-02-19,ITA,178.0,Q2713814,Corrado Barazzutti
100298,George,Hardie,L,1953-02-19,USA,,Q5540227,George Hardie
100299,James Chico,Hagey,R,1953-02-25,USA,,,James Chico Hagey
100300,Jose,Higueras,R,1953-03-01,ESP,178.0,Q1348847,Jose Higueras
100301,Jim,Delaney,R,1953-03-12,USA,,Q6132533,Jim Delaney
100302,Joaquim,Rasgado Jr,R,1953-03-24,BRA,,,Joaquim Rasgado Jr
100303,Henry,Bunis,R,1953-03-27,USA,,Q22677495,Henry Bunis
100304,Bob,Kreiss,R,1953-04-30,USA,,Q16268937,Bob Kreiss
100305,Mark,Farrell,R,1953-05-06,GBR,,Q3294072,Mark Farrell
100306,Mike,Wayman,R,1953-05-06,GBR,,,Mike Wayman
100307,Paul,Torre,R,1953-05-18,FRA,180.0,Q13512879,Paul Torre
100308,Robert,Trogolo,R,1953-06-15,RSA,180.0,Q7350479,Robert Trogolo
100309,Raul,Ramirez,R,1953-06-20,MEX,183.0,Q972727,Raul Ramirez
100310,Mike,Myburg,R,1953-06-23,RSA,,Q13513068,Mike Myburg
100311,Ulises,Quezada,R,1953-07-14,CHI,173.0,,Ulises Quezada
100312,Chiraid,Mukherjea,R,1953-08-14,IND,,,Chiraid Mukherjea
100313,Keith,Richardson,R,1953-08-18,USA,185.0,,Keith Richardson
100314,Bernard,Fritz,R,1953-10-05,FRA,173.0,Q2897929,Bernard Fritz
100315,Hank,Pfister,R,1953-10-09,USA,193.0,Q1144091,Hank Pfister
100316,Scott,Carnahan,R,1953-10-24,USA,,,Scott Carnahan
100317,Stephen,Warboys,R,1953-10-25,GBR,,Q27680824,Stephen Warboys
100318,Roger,Guedes,R,1953-11-03,BRA,,Q106602825,Roger Guedes
100319,Rick,Fagel,R,1953-11-29,USA,180.0,Q7331375,Rick Fagel
100320,Mark,Meyers,R,1953-12-05,USA,,,Mark Meyers
100321,Vijay,Amritraj,R,1953-12-14,IND,193.0,Q468309,Vijay Amritraj
100322,Emilio,Montano,R,1953-12-18,MEX,,Q18159398,Emilio Montano
100323,Givaldo,Barbosa,R,1954-01-25,BRA,183.0,Q5565585,Givaldo Barbosa
100324,John,Whitlinger,R,1954-02-04,USA,180.0,Q8172709,John Whitlinger
100325,Ulrich,Pinner,R,1954-02-07,GER,178.0,Q78176,Ulrich Pinner
100326,Russell,Simpson,R,1954-02-22,NZL,188.0,Q3784261,Russell Simpson
100327,Willem,Prinsloo,L,1954-02-25,RSA,,Q92294368,Willem Prinsloo
100328,Rand,Evett,R,1954-03-01,USA,,,Rand Evett
100329,Otto,Panman,R,1954-03-25,NED,,,Otto Panman
100330,David,Imonitie,R,1954-04-10,NGR,,,David Imonitie
100331,Jean Louis,Haillet,R,1954-05-07,FRA,,Q735512,Jean Louis Haillet
100332,Balazs,Taroczy,R,1954-05-09,HUN,183.0,Q370019,Balazs Taroczy
100333,Shigeyuki,Nishio,R,1954-05-23,JPN,,Q62513568,Shigeyuki Nishio
100334,Ernie,Ewert,R,1954-06-05,AUS,,Q17365472,Ernie Ewert
100335,David,Parker,R,1954-06-07,USA,,,David Parker
100336,Guillermo,Aubone,L,1954-06-08,ARG,,Q5616118,Guillermo Aubone
